Name,Address,lat,long,Price,url
海蘭花苑 四區,路環荷花圍78D號,22.1165041438,113.5695336585,850,http://www.malimalihome.net/residential/2828249
竹灣豪園 ,路環竹灣豪園第一街137-139號,22.1129368546,113.566993475,4500,http://www.malimalihome.net/residential/2846679
竹灣豪園 ,路環竹灣豪園第一街137-139號,22.1129368546,113.566993475,4980,http://www.malimalihome.net/residential/2912619
海蘭花苑 二區,路環荷花圍78D號,22.1165041438,113.5695336585,1180,http://www.malimalihome.net/residential/2192313
海蘭花苑 六區,路環荷花圍78D號,22.1165041438,113.5695336585,1980,http://www.malimalihome.net/residential/2619419
竹灣豪園 ,路環竹灣豪園第一街137-139號,22.1129368546,113.566993475,6800,http://www.malimalihome.net/residential/2224434
海蘭花苑 二區,路環荷花圍78D號,22.1165041438,113.5695336585,1180,http://www.malimalihome.net/residential/2192342
海蘭花苑 二區,路環荷花圍78D號,22.1165041438,113.5695336585,938,http://www.malimalihome.net/residential/2961660
海蘭花苑 四區,路環荷花圍78D號,22.1165041438,113.5695336585,795,http://www.malimalihome.net/residential/2948855
海蘭花苑 四區,路環荷花圍78D號,22.1165041438,113.5695336585,840,http://www.malimalihome.net/residential/2948817
海蘭花苑 四區,路環荷花圍78D號,22.1165041438,113.5695336585,795,http://www.malimalihome.net/residential/2777748
海蘭花苑 四區,路環荷花圍78D號,22.1165041438,113.5695336585,920,http://www.malimalihome.net/residential/2504697
海蘭花苑 二區,路環荷花圍78D號,22.1165041438,113.5695336585,868,http://www.malimalihome.net/residential/2868068
海蘭花苑 四區,路環荷花圍78D號,22.1165041438,113.5695336585,775,http://www.malimalihome.net/residential/2880386
海蘭花苑 三區卉苑/02座,路環荷花圍78D號,22.1165041438,113.5695336585,750,http://www.malimalihome.net/residential/1887820
海蘭花苑 二區,路環荷花圍78D號,22.1165041438,113.5695336585,1080,http://www.malimalihome.net/residential/2200823
竹灣豪園 低層 ,路環竹灣豪園第一街137-139號,22.1129368546,113.566993475,6800,http://www.malimalihome.net/residential/1808211
海蘭花苑 二區,路環荷花圍78D號,22.1165041438,113.5695336585,1180,http://www.malimalihome.net/residential/2236846
海蘭花苑 二區,路環荷花圍78D號,22.1165041438,113.5695336585,1100,http://www.malimalihome.net/residential/883483
海蘭花苑 四區,路環荷花圍78D號,22.1165041438,113.5695336585,1200,http://www.malimalihome.net/residential/1742561
海蘭花苑 三區,路環荷花圍78D號,22.1165041438,113.5695336585,720,http://www.malimalihome.net/residential/2934468
