Name,Address,lat,long,Price,url
南貴花園 中層 ,氹仔廣東大馬路71-109號,22.1583438538,113.5491299629,570,http://www.malimalihome.net/residential/2958997
萬國華庭 01座 中層 F,氹仔埃武拉街384-434號,22.1576483,113.5584425926,718,http://www.malimalihome.net/residential/2945510
葡京花園 順景臺 低層 ,氹仔七潭公路495-501號,22.1582643621,113.5458254814,538,http://www.malimalihome.net/residential/2887733
金利達花園 03,氹仔佛山街150號,22.1577377286,113.5529494286,628,http://www.malimalihome.net/residential/2646501
曼克頓 01座 高層A,氹仔孫逸仙博士大馬路,22.1572905853,113.5591721535,1950,http://www.malimalihome.net/residential/2344652
泉鴻花園 碧苑 中層 L ,氹仔孫逸仙博士大馬路602-708號,22.1621097211,113.555867672,768,http://www.malimalihome.net/residential/2237651
利民大廈 01 高層E,氹仔大連街398-436號,22.1585823286,113.558152914,388,http://www.malimalihome.net/residential/2745686
泉鴻花園 福苑 高層K ,氹仔孫逸仙博士大馬路602-708號,22.1621097211,113.555867672,768,http://www.malimalihome.net/residential/2894661
華峰閣 低層C ,氹仔肇慶街4-18號,22.1603609404,113.5572946072,558,http://www.malimalihome.net/residential/2625358
華寶花園 06座 高層,氹仔基馬拉斯大馬路30-68號,22.1562472455,113.5543978214,738,http://www.malimalihome.net/residential/2942922
華寶花園 04座 高層T,氹仔基馬拉斯大馬路30-68號,22.1562472455,113.5543978214,728,http://www.malimalihome.net/residential/2941156
萬國華庭高層正三房778萬,氹仔埃武拉街384-434號,22.1576483,113.5584425926,778,http://www.malimalihome.net/residential/2837122
濠庭都會靚裝4房1780萬,氹仔氹仔BT19/25/30地段,22.1602019593,113.5551059246,1780,http://www.malimalihome.net/residential/2903297
曼克頓正三房1300萬,氹仔孫逸仙博士大馬路,22.1572905853,113.5591721535,1300,http://www.malimalihome.net/residential/2909778
美景花園正三房 850萬,氹仔基馬拉斯大馬路21A-67號,22.1570719814,113.5538291931,850,http://www.malimalihome.net/residential/2930372
海茵怡居正3+1房1298萬,氹仔氹仔美副將大馬路,22.1579993335,113.5599413652,1298,http://www.malimalihome.net/residential/2930379
南貴花園 1 中層 J,氹仔廣東大馬路71-109號,22.1583438538,113.5491299629,570,http://www.malimalihome.net/residential/2954796
濠庭都會 中層 C ,氹仔氹仔濠庭都會0511樓C座,22.1602019593,113.5551059246,19000,http://www.malimalihome.net/residential/1881257
鴻發花園 01 低層T,氹仔廣東大馬路775-827A,22.1616526555,113.554033041,738,http://www.malimalihome.net/residential/2889522
樂駿盈軒 01座 高層F,氹仔沙維斯街62-80號,22.1575688079,113.5515868664,380,http://www.malimalihome.net/residential/2761044
萬國華庭 01 高層A,氹仔埃武拉街384-434號,22.1576483,113.5584425926,788,http://www.malimalihome.net/residential/1894948
金利達花園 低層X ,氹仔,22.1577377286,113.5529494286,698,http://www.malimalihome.net/residential/2158601
利民大廈 高層E ,氹仔大連街398-436號,22.1585823286,113.558152914,380,http://www.malimalihome.net/residential/2206680
樂駿盈軒 01座 高層J,氹仔沙維斯街62-80號,22.1575688079,113.5515868664,390,http://www.malimalihome.net/residential/2963201
滙景花園 03座,氹仔亞威羅街,22.1571514738,113.5523271561,820,http://www.malimalihome.net/residential/2961744
"新年快樂! 濠庭都會中層1314呎,可間三房,售999萬",氹仔氹仔BT19/25/30地段,22.1602019593,113.5551059246,999,http://www.malimalihome.net/residential/2961692
萬國華庭 01座 中層 F,氹仔埃武拉街384-434號,22.1576483,113.5584425926,715,http://www.malimalihome.net/residential/2963163
濠庭都會 11,氹仔氹仔BT19/25/30地段,22.1602019593,113.5551059246,2165,http://www.malimalihome.net/residential/196190
華峰閣 低層E ,氹仔肇慶街4-18號,22.1603609404,113.5572946072,920,http://www.malimalihome.net/residential/1737243
海洋花園 雅蘭苑 高層D ,氹仔海洋花園大馬路1441A,22.1606789022,113.5443878174,1280,http://www.malimalihome.net/residential/384351
海灣花園 海港閣 高層AG ,氹仔氹仔北安灣私家地,22.1621892106,113.5609424114,488,http://www.malimalihome.net/residential/1736247
濠庭都會 13,氹仔氹仔BT19/25/30地段,22.1602019593,113.5551059246,1250,http://www.malimalihome.net/residential/559907
葡京花園 麗景臺 低層 ,氹仔七潭公路495-501號,22.1582643621,113.5458254814,628,http://www.malimalihome.net/residential/427448
