Name,Address,lat,long,Price,url
信達廣場 01座 中層 O,澳門關閘,22.1944582416,113.5430574417,508,http://www.malimalihome.net/residential/2706049
永添新邨 01座 中層,澳門,22.2118117024,113.5526382923,438,http://www.malimalihome.net/residential/2939440
宏開大廈 04座 中層,澳門青草街83-85號,22.201282669,113.5417914391,375,http://www.malimalihome.net/residential/2890063
李秉倫大廈 02座 中層,澳門關閘廣場245-315號,22.2149007312,113.5502886772,688,http://www.malimalihome.net/residential/2889953
寶翠花園 利輝閣 高層E ,澳門沙梨頭南街261-269號,22.2072823283,113.5435509682,862,http://www.malimalihome.net/residential/2859221
海景園 03座 高層,澳門順景廣場71-115號,22.2134406521,113.5535609722,538,http://www.malimalihome.net/residential/881975
八達新邨 泰康樓 高層 ,澳門慕拉士大馬路190-216號,22.2057526382,113.5528957844,448,http://www.malimalihome.net/residential/2910304
廣華新邨 01座 中層,澳門黑沙環新街409-501號,22.2074511891,113.5567903519,440,http://www.malimalihome.net/residential/2922054
東華新邨 07座 高層,澳門黑沙環新街408-500號,22.206457887,113.5557603836,368,http://www.malimalihome.net/residential/2902435
東華新邨 05座 中層,澳門黑沙環新街408-500號,22.206457887,113.5557603836,368,http://www.malimalihome.net/residential/455051
東華新邨 03座 低層,澳門黑沙環新街408-500號,22.206457887,113.5557603836,428,http://www.malimalihome.net/residential/2349500
御景花園 高層 ,澳門高樓街17-27號,22.18923291,113.5359871387,788,http://www.malimalihome.net/residential/2353461
寶寶大廈 低層 ,澳門雅廉訪大馬路18-18B,22.2023356079,113.550106287,475,http://www.malimalihome.net/residential/2859267
新安花園 04座 中層,澳門友誼大馬路875-893號,22.1928390056,113.5514473915,628,http://www.malimalihome.net/residential/2228328
海天居 05座 高層F,澳門澳門友誼橋大馬路V地段,22.2114143948,113.5585820675,673,http://www.malimalihome.net/residential/2961278
裕華大廈 12座 低層A,澳門黑沙環新街111-213號,22.2094079738,113.5544514656,550,http://www.malimalihome.net/residential/2937102
裕華大廈 05座 高層,澳門黑沙環新街111-213號,22.2094079738,113.5544514656,588,http://www.malimalihome.net/residential/2942884
新安花園 01座 低層E,澳門友誼大馬路875-893號,22.1928390056,113.5514473915,799,http://www.malimalihome.net/residential/2771975
信達廣場 01座 中層,澳門伯多祿局長街/白馬行2A-4D號,22.1944582416,113.5430574417,460,http://www.malimalihome.net/residential/2905089
華景園 02座 高層J,澳門馬場北大馬路293-319號,22.2144736348,113.5516083241,550,http://www.malimalihome.net/residential/2937106
廣華新邨 04座 高層A,澳門黑沙環新街409-501號,22.2074511891,113.5567903519,480,http://www.malimalihome.net/residential/2941339
君悅灣 中層 ,澳門澳門友誼橋大馬路U+U1地段,22.2091612386,113.5578549528,1188,http://www.malimalihome.net/residential/2939436
